,Unnamed: 0,species,genus,family,order,german_name,comment,status,found
470,8,githagineus,bucanetes,fringillidae,passeriformes,Wüstengimpel,,,True
471,9,erythrinus,carpodacus,fringillidae,passeriformes,Karmingimpel,,,True
472,10,serinus,serinus,fringillidae,passeriformes,Girlitz,,,True
474,12,pytyopsittacus,loxia,fringillidae,passeriformes,Kiefernkreuzschnabel,,,True
475,13,curvirostra,loxia,fringillidae,passeriformes,Fichtenkreuzschnabel,,,True
477,15,carduelis,carduelis,fringillidae,passeriformes,Stieglitz,,,True
478,16,citrinella,carduelis,fringillidae,passeriformes,Zitronenzeisig,RL 3,,True
487,5,calandra,emberiza,emberizidae,passeriformes,Grauammer,RL 3,,True
488,6,citrinella,emberiza,emberizidae,passeriformes,Goldammer,,,True
489,7,leucocephalos,emberiza,emberizidae,passeriformes,Fichtenammer,Emberiza leucocephalos,,True
490,8,cirlus,emberiza,emberizidae,passeriformes,Zaunammer,RL 2,,True
491,9,cia,emberiza,emberizidae,passeriformes,Zippammer,RL 1,,True
492,10,cineracea,emberiza,emberizidae,passeriformes,Türkenammer,,,True
493,11,hortulana,emberiza,emberizidae,passeriformes,Ortolan,RL 3,,True
494,12,caesia,emberiza,emberizidae,passeriformes,Grauortolan,,,True
495,13,schoeniclus,emberiza,emberizidae,passeriformes,Rohrammer,,,True
496,14,pusilla,emberiza,emberizidae,passeriformes,Zwergammer,,,True
497,15,rustica,emberiza,emberizidae,passeriformes,Waldammer,,,True
498,16,spodocephala,emberiza,emberizidae,passeriformes,Maskenammer,,,True
499,17,melanocephala,emberiza,emberizidae,passeriformes,Kappenammer,,,True
500,18,bruniceps,emberiza,emberizidae,passeriformes,Braunkopfammer,,,True
501,19,aureola,emberiza,emberizidae,passeriformes,Weidenammer,,,True
