,species,genus,family,order,german_name,comment,status
10,arundinaceus,acrocephalus,acrocephalidae,passeriformes,Drosselrohrsänger,RL V,
11,pallida,iduna,acrocephalidae,passeriformes,Blassspötter,,
12,caligata,iduna,acrocephalidae,passeriformes,Buschspötter,,
13,rama,iduna,acrocephalidae,passeriformes,Steppenspötter,,
14,icterina,hippolais,acrocephalidae,passeriformes,Gelbspötter,,
15,polyglotta,hippolais,acrocephalidae,passeriformes,Orpheusspötter,,
3,juncidis,cisticola,cisticolidae,,Zistensänger,,
3,atricapilla,sylvia,cisticolidae,,Mönchsgrasmücke,,
4,borin,sylvia,cisticolidae,,Gartengrasmücke,,
5,nisoria,sylvia,cisticolidae,,Sperbergrasmücke,,
6,hortensis,sylvia,cisticolidae,,Orpheusgrasmücke,,
7,curruca,sylvia,cisticolidae,,Klappergrasmücke,,
8,nana,sylvia,cisticolidae,,Wüstengrasmücke,,
9,communis,sylvia,cisticolidae,,Dorngrasmücke,,
10,conspicillata,sylvia,cisticolidae,,Brillengrasmücke,,
11,undata,sylvia,cisticolidae,,Provencegrasmücke,,
12,cantillans,sylvia,cisticolidae,,Weißbart-Grasmücke,,
13,melanocephala,sylvia,cisticolidae,,Samtkopf-Grasmücke,,
3,regulus,regulus,regulidae,,Wintergoldhähnchen,,
4,ignicapilla,regulus,regulidae,,Sommergoldhähnchen,,
3,garrulus,bombycilla,bombycillidae,passeriformes,Seidenschwanz,,
3,muraria,tichodroma,tichodromidae,passeriformes,Mauerläufer,RL R,
3,europaea,sitta,sittidae,passeriformes,Kleiber,,
3,familiaris,certhia,certhiidae,passeriformes,Waldbaumläufer,,
4,brachydactyla,certhia,certhiidae,passeriformes,Gartenbaumläufer,,
3,troglodytes,troglodytes,troglodytidae,passeriformes,Zaunkönig,,
3,carolinensis,dumetella,mimidae,passeriformes,Katzenvogel,,
3,vulgaris,sturnus,sturnidae,passeriformes,Star,,
4,roseus,sturnus,sturnidae,passeriformes,Rosenstar,,
3,cinclus,cinclus,cinclidae,passeriformes,Wasseramsel,,
3,aurea,zoothera,turdidae,passeriformes,Erddrosel,,
4,sibirica,zoothera,turdidae,passeriformes,Schieferdrossel,,
5,guttatus,catharus,turdidae,passeriformes,Einsiedlerdrossel,,
6,ustulatus,catharus,turdidae,passeriformes,Zwergdrossel,,
7,minimus,catharus,turdidae,passeriformes,Grauwangendrossel,,
8,viscivorus,turdus,turdidae,passeriformes,Misteldrossel,,
9,torquatus,turdus,turdidae,passeriformes,Ringdrossel,,
10,merula,turdus,turdidae,passeriformes,Amsel,,
11,obscurus,turdus,turdidae,passeriformes,Weißbrauendrossel,,
12,unicolor,turdus,turdidae,passeriformes,Einfarbdrossel,,
13,naumanni,turdus,turdidae,passeriformes,Rotschwanzdrossel,,
14,eunomus,turdus,turdidae,passeriformes,Rostflügeldrossel,,
15,ruficollis,turdus,turdidae,passeriformes,Rotkehldrossel,,
16,atrogularis,turdus,turdidae,passeriformes,Schwarzkehldrossel,,
17,pallidus,turdus,turdidae,passeriformes,Fahldrossel,,
18,pilaris,turdus,turdidae,passeriformes,Wacholderdrossel,,
19,philomelos,turdus,turdidae,passeriformes,Singdrossel,,
20,iliacus,turdus,turdidae,passeriformes,Rotdrossel,,
21,migratorius,turdus,turdidae,passeriformes,Wanderdrossel,,
3,galactotes,cercotrichas,muscicapidae,passeriformes,Heckensänger,,
4,striata,muscicapa,muscicapidae,passeriformes,Grauschnäpper,,
5,parva,ficedula,muscicapidae,passeriformes,Zwergschnäpper,,
6,hypoleuca,ficedula,muscicapidae,passeriformes,Trauerschnäpper,,
7,albicollis,ficedula,muscicapidae,passeriformes,Halsbandschnäpper,RL 3,
8,saxatilis,monticola,muscicapidae,passeriformes,Steinrötel,RL 1,
9,rubetra,saxicola,muscicapidae,passeriformes,Braunkehlchen,RL 3,
10,rubicola,saxicola,muscicapidae,passeriformes,Schwarzkehlchen,RL V,
11,maurus,saxicola,muscicapidae,passeriformes,Pallasschwarzkehlchen,,
12,rubecula,erithacus,muscicapidae,passeriformes,Rotkehlchen,,
13,cyanurus,tarsiger,muscicapidae,passeriformes,Blauschwanz,,
14,luscinia,luscinia,muscicapidae,passeriformes,Sprosser,,
15,megarhynchos,luscinia,muscicapidae,passeriformes,Nachtigall,,
16,calliope,luscinia,muscicapidae,passeriformes,Rubinkehlchen,,
17,svecica,luscinia,muscicapidae,passeriformes,Blaukehlchen,RL V,
18,ochruros,phoenicurus,muscicapidae,passeriformes,Hausrotschwanz,,
19,phoenicurus,phoenicurus,muscicapidae,passeriformes,Gartenrotschwanz,,
20,isabellina,oenanthe,muscicapidae,passeriformes,Isabellsteinschmätzer,,
21,deserti,oenanthe,muscicapidae,passeriformes,Wüstensteinschmätzer,,
22,oenanthe,oenanthe,muscicapidae,passeriformes,Steinschmätzer,RL 1,
23,hispanicaOenanthe melanoleuca,oenanthe,muscicapidae,passeriformes,MaurensteinschmätzerBalkansteinschmätzer,,
24,pleschanka,oenanthe,muscicapidae,passeriformes,Nonnensteinschmätzer,,
25,leucopyga,oenanthe,muscicapidae,passeriformes,Saharasteinschmätzer,,
3,collaris,prunella,prunellidae,passeriformes,Alpenbraunelle,RL R,
4,modularis,prunella,prunellidae,passeriformes,Heckenbraunelle,,
5,atrogularis,prunella,prunellidae,passeriformes,Schwarzkehbraunelle,,
3,domesticus,passer,passeridae,passeriformes,Haussperling,RL V,
4,montanus,passer,passeridae,passeriformes,Feldsperling,RL V,
5,petronia,petronia,passeridae,passeriformes,Steinsperling,RL 0,
6,nivalis,montifringilla,passeridae,passeriformes,Schneesperling,RL R,
3,richardi,anthus,motacillidae,passeriformes,Spornpieper,,
4,godlewskii,anthus,motacillidae,passeriformes,Steppenpieper,,
5,campestris,anthus,motacillidae,passeriformes,Brachpieper,RL 1,
6,hodgsoni,anthus,motacillidae,passeriformes,Waldpieper,,
7,trivialis,anthus,motacillidae,passeriformes,Baumpieper,RL V,
8,pratensis,anthus,motacillidae,passeriformes,Wiesenpieper,RL V,
9,cervinus,anthus,motacillidae,passeriformes,Rotkehlpieper,,
10,rubescens,anthus,motacillidae,passeriformes,Pazifikpieper,,
11,spinoletta,anthus,motacillidae,passeriformes,Bergpieper,,
12,petrosus,anthus,motacillidae,passeriformes,Strandpieper,,
13,cinerea,motacilla,motacillidae,passeriformes,Gebirgsstelze,,
14,citreola,motacilla,motacillidae,passeriformes,Zitronenstelze,,
15,flava,motacilla,motacillidae,passeriformes,Wiesenschafstelze,,
16,flavissima,motacilla,motacillidae,passeriformes,Gelbkopf-Schafstelze,RL R,
17,feldegg,motacilla,motacillidae,passeriformes,Maskenschafstelze,,
18,cinereocapilla,motacilla,motacillidae,passeriformes,Aschkopf-Schafstelze,,
19,thunbergi,motacilla,motacillidae,passeriformes,Thunbergschafstelze,,
20,lutea,motacilla,motacillidae,passeriformes,Wolgaschafstelze,,
21,alba,motacilla,motacillidae,passeriformes,Bachstelze,,
22,yarrellii,motacilla,motacillidae,passeriformes,Trauerbachstelze,RL R,
3,coelebs,fringilla,fringillidae,passeriformes,Buchfink,,
4,montifringilla,fringilla,fringillidae,passeriformes,Bergfink,,
5,coccothraustes,coccothraustes,fringillidae,passeriformes,Kernbeißer,,
6,enucleator,pinicola,fringillidae,passeriformes,Hakengimpel,,
7,pyrrhula,pyrrhula,fringillidae,passeriformes,Gimpel,,
8,githagineus,bucanetes,fringillidae,passeriformes,Wüstengimpel,,
9,erythrinus,carpodacus,fringillidae,passeriformes,Karmingimpel,,
10,serinus,serinus,fringillidae,passeriformes,Girlitz,,
11,bifasciata,loxia,fringillidae,passeriformes,Bindenkreuzschnabel,,
12,pytyopsittacus,loxia,fringillidae,passeriformes,Kiefernkreuzschnabel,,
13,curvirostra,loxia,fringillidae,passeriformes,Fichtenkreuzschnabel,,
14,chloris,carduelis,fringillidae,passeriformes,Grünfink,,
15,carduelis,carduelis,fringillidae,passeriformes,Stieglitz,,
16,citrinella,carduelis,fringillidae,passeriformes,Zitronenzeisig,RL 3,
17,spinus,carduelis,fringillidae,passeriformes,Erlenzeisig,,
18,cannabina,carduelis,fringillidae,passeriformes,Bluthänfling,RL V,
19,flavirostris,carduelis,fringillidae,passeriformes,Berghänfling,,
20,cabaret,carduelis,fringillidae,passeriformes,Alpenbirkenzeisig,,
21,flammea,carduelis,fringillidae,passeriformes,Birkenzeisig,,
22,hornemanni,carduelis,fringillidae,passeriformes,Polarbirkenzeisig,,
3,lapponicus,calcarius,emberizidae,passeriformes,Spornammer,,
4,nivalis,calcaricus,emberizidae,passeriformes,Schneeammer,,
5,calandra,emberiza,emberizidae,passeriformes,Grauammer,RL 3,
6,citrinella,emberiza,emberizidae,passeriformes,Goldammer,,
7,leucocephalos,emberiza,emberizidae,passeriformes,Fichtenammer,Emberiza leucocephalos,
8,cirlus,emberiza,emberizidae,passeriformes,Zaunammer,RL 2,
9,cia,emberiza,emberizidae,passeriformes,Zippammer,RL 1,
10,cineracea,emberiza,emberizidae,passeriformes,Türkenammer,,
11,hortulana,emberiza,emberizidae,passeriformes,Ortolan,RL 3,
12,caesia,emberiza,emberizidae,passeriformes,Grauortolan,,
13,schoeniclus,emberiza,emberizidae,passeriformes,Rohrammer,,
14,pusilla,emberiza,emberizidae,passeriformes,Zwergammer,,
15,rustica,emberiza,emberizidae,passeriformes,Waldammer,,
16,spodocephala,emberiza,emberizidae,passeriformes,Maskenammer,,
17,melanocephala,emberiza,emberizidae,passeriformes,Kappenammer,,
18,bruniceps,emberiza,emberizidae,passeriformes,Braunkopfammer,,
19,aureola,emberiza,emberizidae,passeriformes,Weidenammer,,
20,americana,parula,emberizidae,passeriformes,Meisenwaldsänger,,
21,virens,dendroica,emberizidae,passeriformes,Grünwaldsänger,,
